"filename", "language", "Markdown", "Python", "Database", "CSS", "XML", "HTML", "comment", "blank", "total"
"/home/anbhv/crumx/pomo/pomo/main/tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"/home/anbhv/crumx/pomo/pomo/main/urls.py", "Python", 0, 16, 0, 0, 0, 0, 0, 5, 21
"/home/anbhv/crumx/pomo/pomo/main/views.py", "Python", 0, 205, 0, 0, 0, 0, 3, 122, 330
"/home/anbhv/crumx/pomo/pomo/manage.py", "Python", 0, 15, 0, 0, 0, 0, 3, 5, 23
"/home/anbhv/crumx/pomo/pomo/pomo/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/anbhv/crumx/pomo/pomo/pomo/asgi.py", "Python", 0, 4, 0, 0, 0, 0, 8, 5, 17
"/home/anbhv/crumx/pomo/pomo/pomo/settings.py", "Python", 0, 83, 0, 0, 0, 0, 28, 39, 150
"/home/anbhv/crumx/pomo/pomo/pomo/urls.py", "Python", 0, 12, 0, 0, 0, 0, 15, 4, 31
"/home/anbhv/crumx/pomo/pomo/pomo/wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 8, 5, 17
"Total", "-", 3, 869, 164, 139, 3, 412, 91, 677, 2358
